Jugadores Extranjeros,,,,,,
Equipo,Jugador 1,Jugador 2,Jugador 3,Jugador 4,Jugador 5,Excedente
Audax Italiano,Manuel Fernández,Rodrigo Holgado,Leonardo Rolón,Jesús Hernandez,,
Cobresal,Ever Cantero,José David Portillo,Sebastián López,Rodrigo Cabrera,Marcos Figueroa,
Colo-Colo,Agustín Orión,Matías Zaldivia,Juan Insaurralde,Pablo Mouche,Gabriel Costa,[extra. 1]​
Coquimbo Unido,Matías Cano,Mauricio Yedro,Facundo Cardozo,Jonathan Benítez,Julio Doldán,
Curicó Unido,Mauro Quiroga,Daniel Franco,Gonzalo Bustamante,Héber García,Carlos Suárez,
Deportes Antofagasta,Eduard Bello,Ricardo Blanco,Agustin Rossi,Adrián Balboa,Tobias Figueroa,[extra. 2]​
Deportes Iquique,Rodrigo Castro,Edwuin Pernía,Andrés Imperiale,Jacobo Kouffati,Mariano Barbieri,
Everton,Fernando Arismendi,Juan Cuevas,Cristian Campestrini,Gonzalo Freitas,Carlos Moreno,
Huachipato,Federico Pereyra,Anthony Blondell,Alexander Succar,,,[extra. 3]​
O'Higgins,Maximiliano Salas,Renzo López,Gustavo Gotti,Fabrizio Ramírez,Agustín Doffo,
Palestino,Alejandro González,Lucas Passerini,Julián Fernández,Agustín Farías,Luis Mago,[extra. 4]​
Unión Española,Mauro Caballero,José Manuel Aja,Ezequiel Palomeque,Yulián Mejía,Carlos Matheu,
Unión La Calera,Pablo Alvarado,Matias Laba,Augusto Batalla,Walter Bou,Eugenio Isnaldo,[extra. 5]​
Universidad Católica,Luciano Aued,Diego Buonanotte,Matías Dituro,Sebastián Sáez,Duvier Riascos,[extra. 6]​
Universidad de Chile,Matías Rodríguez,Sergio Vittor,Gabriel Torres,Lucas Aveldaño,Nicolás Oroz,[extra. 7]​
Universidad de Concepción,Alexis Rolín,Gustavo Mencia,German Voboril,Guido Vadalá,Josepmir Ballón,[extra. 8]​
"Actualizado el 17 de marzo de 2019, 18:32 UTC",,,,,,
"1. ↑ Colo-Colo Jose Carabali 
   2. ↑ Deportes Antofagasta: José Bandéz 
   3. ↑ Huachipato: Piero Vivanco   Martín Sánchez Brayan Palmezano Danny 
   Perez 
   4. ↑ Palestino: Manuel Godoy   Daniel Murillo 
   5. ↑ Unión La Calera: Santiago Micolta 
   6. ↑ Universidad Católica: César Munder 
   7. ↑ Universidad de Chile: Jonathan Zacaría
   8. ↑ Universidad de Concepción: Luis Riveros",,,,,,